artista;cancion;aparicion;tipo;titulo_obra;temporada_episodio;titulo_episodio
Gorillaz;Feel Good Inc. (ft. De La Soul);2020;Videojuego;Watch Dogs: Legion;;
Gorillaz;The Valley of the Pagans (ft. Beck);2021;Videojuego;MLB The Show 21;;
Gorillaz;The Valley of the Pagans (ft. Beck);2021;Videojuego;Forza Horizon 5;;
Gorillaz;Feel Good Inc. (ft. De La Soul);2021;Videojuego;Beatstar;;
Gorillaz;DARE;2022;Videojuego;Beatstar;;
Gorillaz;Baby Queen;2022;Videojuego;FIFA 23;;
Gorillaz;Silent Running (ft. Adeleye Omotayo);2023;Videojuego;Fortnite - Icon Radio (Coachella 2023);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2023;Videojuego;Synth Riders (DLC);;
Gorillaz;Clint Eastwood (ft. Del the Funky Homosapien);2023;Videojuego;Synth Riders (DLC);;
Gorillaz;New Gold (ft. Tame Impala & Bootie Brown);2023;Videojuego;Synth Riders (DLC);;
Gorillaz;DARE;2023;Videojuego;Synth Riders (DLC);;
Gorillaz;On Melancholy Hill;2023;Videojuego;Synth Riders (DLC);;
Gorillaz;Cracker Island (ft. Thundercat);2023;Videojuego;Synth Riders (DLC);;
Gorillaz;Sleeping Powder;2023;Videojuego;Synth Riders (DLC);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2023;Videojuego;Metal: Hellsinger (The Essential Hits DLC);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2024;Videojuego;Fortnite Festival;;
Gorillaz;Feel Good Inc. (ft. De La Soul);2024;Videojuego;Pop Beat;;
Gorillaz;Clint Eastwood (ft. Del the Funky Homosapien);2024;Videojuego;Suicide Squad: Kill the Justice League (trailer);;
Gorillaz;DARE;2025;Videojuego;Fortnite Festival;;
Gorillaz;Clint Eastwood (ft. Del the Funky Homosapien);2025;Videojuego;Fortnite Festival;;
Gorillaz;On Melancholy Hill;2025;Videojuego;Fortnite Festival;;
Gorillaz;DARE;2025;Videojuego;Fortnite (Emote);;
Gorillaz;Superfast Jellyfish (feat. De La Soul & Gruff Rhys);2025;Videojuego;Fortnite (Emote);;
Gorillaz;Feel Good Inc. (ft. De La Soul);2026;Videojuego;Just Dance: Decades of Hits;;
Gorillaz;19-2000;2008;Pelicula;Cloverfield;;
Gorillaz;19-2000;2003;Pelicula;How to Lose a Guy in 10 Days;;
Gorillaz;19-2000;2001;Serie;Smallville;S1E3;Hothead
